# 1: Bin number
# 2: r
# 3: g(r)
0	0.01	0
1	0.03	0
2	0.05	0
3	0.07	0
4	0.09	0
5	0.11	0
6	0.13	0
7	0.15	0
8	0.17	0
9	0.19	0
10	0.21	0
11	0.23	0
12	0.25	0
13	0.27	0
14	0.29	0
15	0.31	0
16	0.33	0
17	0.35	0
18	0.37	0
19	0.39	0
20	0.41	0
21	0.43	0
22	0.45	0
23	0.47	0
24	0.49	0
25	0.51	0
26	0.53	0
27	0.55	0
28	0.57	0
29	0.59	0
30	0.61	0
31	0.63	0
32	0.65	0
33	0.67	0
34	0.69	0
35	0.71	0
36	0.73	0
37	0.75	0
38	0.77	0
39	0.79	0
40	0.81	0
41	0.83	0
42	0.85	0
43	0.87	0.0274989
44	0.89	0.26277
45	0.91	3.06643
46	0.93	15.1611
47	0.95	48.5239
48	0.97	108.639
49	0.99	164.67
50	1.01	165.477
51	1.03	113.066
52	1.05	55.3913
53	1.07	19.0344
54	1.09	6.14915
55	1.11	3.96994
56	1.13	3.45574
57	1.15	3.58841
58	1.17	3.80129
59	1.19	3.46881
60	1.21	3.59677
61	1.23	3.60458
62	1.25	3.82319
63	1.27	3.3682
64	1.29	3.81492
65	1.31	3.95403
66	1.33	3.80071
67	1.35	3.44909
68	1.37	4.2474
69	1.39	4.81553
70	1.41	5.00444
71	1.43	4.75347
72	1.45	4.98954
73	1.47	4.1708
74	1.49	4.94089
75	1.51	4.54614
76	1.53	5.30834
77	1.55	6.96562
78	1.57	9.90527
79	1.59	15.2316
80	1.61	20.7897
81	1.63	26.8163
82	1.65	27.9363
83	1.67	27.2413
84	1.69	25.2157
85	1.71	22.5864
86	1.73	18.555
87	1.75	15.7681
88	1.77	12.5304
89	1.79	10.1212
90	1.81	9.46033
91	1.83	9.01228
92	1.85	9.29285
93	1.87	10.1487
94	1.89	11.1296
95	1.91	12.1358
96	1.93	14.5343
97	1.95	15.3216
98	1.97	15.4679
99	1.99	15.3793
100	2.01	12.4215
101	2.03	9.73834
102	2.05	7.16689
103	2.07	5.39203
104	2.09	3.9122
105	2.11	3.36618
106	2.13	3.7437
107	2.15	3.7104
108	2.17	3.93848
109	2.19	3.91895
